district,school_name,min_score
嘉定区,上海市杨浦高级中学,721.50
浦东新区,上海交通大学附属中学,756.50
浦东新区,复旦大学附属中学,761.00
浦东新区,上海中学东校,744.00
浦东新区,华东师范大学第二附属中学,759.50
浦东新区,上海市浦东复旦附中分校,756.00
浦东新区,上海师范大学附属中学,732.00
浦东新区,上海市实验学校,740.50
浦东新区,上海市上海中学,750.50
嘉定区,复旦大学附属中学青浦分校,752.50
浦东新区,上海外国语大学附属大境中学,702.50
浦东新区,复旦大学附属中学徐汇分校,759.50
浦东新区,复旦大学附属复兴中学,738.50
浦东新区,华东师范大学第一附属中学,725.00
嘉定区,上海市朱家角中学,703.00
嘉定区,上海市奉贤中学,730.50
嘉定区,上海市崇明中学,699.50
浦东新区,上海市格致中学,741.50
浦东新区,上海市大同中学,738.00
浦东新区,上海市向明中学,720.50
浦东新区,上海市光明中学,696.50
浦东新区,上海市敬业中学,712.00
浦东新区,上海市卢湾高级中学,698.50
浦东新区,上海市第二中学,718.00
浦东新区,上海市南洋模范中学,751.00
浦东新区,上海市位育中学,740.00
浦东新区,上海市南洋中学,714.00
浦东新区,上海市第三女子中学,714.50
浦东新区,上海市延安中学,740.50
浦东新区,上海市复旦中学,709.00
浦东新区,上海市市西中学,728.00
浦东新区,上海市新中高级中学,707.50
浦东新区,上海市市北中学,711.00
浦东新区,上海市回民中学,682.00
金山区,上海南汇中学,698.50
金山区,上海交通大学附属中学,753.50
金山区,复旦大学附属中学,755.00
金山区,华东师范大学第二附属中学,715.50
金山区,上海师范大学附属中学,712.50
金山区,华东师范大学第三附属中学,712.00
浦东新区,华东师范大学第二附属中学松江分校,742.00
浦东新区,上海师范大学附属中学松江分校,717.00
浦东新区,复旦大学附属中学青浦分校,747.00
浦东新区,上海市松江一中,711.50
浦东新区,上海市青浦高级中学,704.50
浦东新区,上海市朱家角中学,699.50
浦东新区,上海市奉贤中学,732.50
浦东新区,上海市崇明中学,700.00
金山区,上海市第二中学,708.00
金山区,上海市南洋模范中学,748.50
金山区,上海市位育中学,744.00
金山区,上海市南洋中学,721.50
金山区,上海市延安中学,741.00
金山区,上海市复旦中学,718.00
金山区,上海市进才中学,672.00
金山区,上海市宜川中学,680.50
金山区,上海市杨浦高级中学,720.00
金山区,上海市七宝中学,744.50
金山区,上海市闵行中学,719.00
金山区,上海市吴淞中学,725.00
金山区,上海市嘉定区第一中学,702.00
金山区,上海市建平中学,744.00
金山区,上海市洋泾中学,709.50
松江区,上海南汇中学,715.50
松江区,上海交通大学附属中学,760.00
松江区,复旦大学附属中学,763.00
松江区,华东师范大学第二附属中学,754.00
松江区,上海师范大学附属中学,730.00
松江区,华东师范大学第二附属中学松江分校,760.50
松江区,上海师范大学附属中学松江分校,760.50
松江区,上海外国语大学附属外国语学校松江云间中学,742.50
青浦区,上海交通大学附属中学,757.00
青浦区,复旦大学附属中学,762.50
松江区,华东师范大学第一附属中学,727.00
松江区,上海财经大学附属北郊高级中学,660.00
松江区,上海市复旦中学,729.50
松江区,上海市进才中学,720.00
松江区,上海市回民中学,685.00
松江区,上海市华东模范中学,681.00
松江区,上海市晋元高级中学,722.50
松江区,上海市曹杨第二中学,750.00
松江区,上海市宜川中学,710.50
松江区,上海市杨浦高级中学,723.00
松江区,上海市控江中学,770.00
松江区,上海市七宝中学,756.00
松江区,上海市闵行中学,717.50
松江区,上海市行知中学,719.00
松江区,上海市吴淞中学,700.50
松江区,上海市嘉定区第一中学,730.00
松江区,上海市建平中学,742.50
奉贤区,上海南汇中学,703.50
青浦区,上海南汇中学,707.50
青浦区,华东师范大学第二附属中学,749.00
青浦区,上海师范大学附属中学,736.00
青浦区,复旦大学附属中学青浦分校,763.50
奉贤区,上海交通大学附属中学,747.00
奉贤区,复旦大学附属中学,753.00
奉贤区,华东师范大学第二附属中学,743.50
奉贤区,上海师范大学附属中学,675.50
青浦区,上海交通大学附属中学闵行分校,750.50
奉贤区,上海中学东校,729.50
青浦区,上海市闵行中学,690.00
青浦区,上海市行知中学,723.50
