district,school_name,min_score
普陀区,复旦大学附属中学青浦分校,748.50
虹口区,上海外国语大学附属大境中学,683.50
虹口区,华东师范大学第二附属中学（普陀校区）,748.50
虹口区,同济大学第一附属中学,722.50
虹口区,华东师范大学第二附属中学闵行紫竹分校,747.50
虹口区,上海师范大学附属中学闵行分校,692.50
虹口区,上海大学附属中学,710.00
虹口区,上海师范大学附属中学宝山分校,704.00
虹口区,华东师范大学第二附属中学（宝山校区）,752.50
虹口区,上海交通大学附属中学嘉定分校,745.50
虹口区,上海市浦东复旦附中分校,748.50
虹口区,华东师范大学第三附属中学,674.50
虹口区,上海外国语大学附属外国语学校松江云间中学,719.00
虹口区,复旦大学附属中学青浦分校,752.50
虹口区,上海市实验学校东滩高级中学,708.50
杨浦区,上海外国语大学附属大境中学,722.00
杨浦区,复旦大学附属中学徐汇分校,755.00
杨浦区,复旦大学附属复兴中学,742.50
杨浦区,华东师范大学第一附属中学,731.50
杨浦区,上海财经大学附属北郊高级中学,714.00
杨浦区,华东师范大学第二附属中学闵行紫竹分校,754.00
杨浦区,上海师范大学附属中学闵行分校,729.50
杨浦区,上海交通大学附属中学闵行分校,748.00
杨浦区,上海大学附属中学,706.00
杨浦区,上海师范大学附属中学宝山分校,717.50
杨浦区,华东师范大学第二附属中学（宝山校区）,755.50
杨浦区,上海交通大学附属中学嘉定分校,746.00
杨浦区,上海师范大学附属中学嘉定新城分校,731.50
杨浦区,上海中学东校,737.00
杨浦区,上海市浦东复旦附中分校,752.50
杨浦区,华东师范大学第三附属中学,697.50
杨浦区,华东师范大学第二附属中学松江分校,754.00
杨浦区,上海外国语大学附属外国语学校松江云间中学,738.50
杨浦区,上海市实验学校东滩高级中学,712.50
闵行区,上海外国语大学附属大境中学,694.50
闵行区,复旦大学附属中学徐汇分校,759.00
闵行区,华东师范大学第一附属中学,736.00
闵行区,上海财经大学附属北郊高级中学,701.50
闵行区,同济大学第一附属中学,725.00
闵行区,上海大学附属中学,726.00
闵行区,上海师范大学附属中学宝山分校,715.00
闵行区,华东师范大学第二附属中学（宝山校区）,741.00
闵行区,上海交通大学附属中学嘉定分校,750.00
闵行区,上海师范大学附属中学嘉定新城分校,718.50
闵行区,上海中学东校,734.50
闵行区,上海市浦东复旦附中分校,750.00
闵行区,华东师范大学第三附属中学,690.00
闵行区,华东师范大学第二附属中学松江分校,753.50
闵行区,复旦大学附属中学青浦分校,752.50
闵行区,华东师范大学第二附属中学临港奉贤分校,730.00
宝山区,上海外国语大学附属大境中学,706.00
宝山区,复旦大学附属复兴中学,742.50
宝山区,华东师范大学第一附属中学,726.00
宝山区,上海财经大学附属北郊高级中学,704.50
宝山区,同济大学第一附属中学,716.50
宝山区,华东师范大学第二附属中学闵行紫竹分校,751.00
宝山区,上海师范大学附属中学闵行分校,736.50
宝山区,上海交通大学附属中学嘉定分校,758.00
宝山区,上海师范大学附属中学嘉定新城分校,716.50
宝山区,上海中学东校,735.50
宝山区,华东师范大学第三附属中学,697.00
宝山区,上海外国语大学附属外国语学校松江云间中学,729.50
宝山区,华东师范大学第二附属中学临港奉贤分校,744.00
宝山区,上海市实验学校东滩高级中学,705.50
嘉定区,复旦大学附属中学徐汇分校,754.50
嘉定区,华东师范大学第二附属中学（普陀校区）,751.50
嘉定区,复旦大学附属复兴中学,727.50
嘉定区,华东师范大学第一附属中学,719.50
嘉定区,上海财经大学附属北郊高级中学,689.00
嘉定区,同济大学第一附属中学,720.00
嘉定区,华东师范大学第二附属中学闵行紫竹分校,745.50
嘉定区,上海师范大学附属中学闵行分校,728.50
嘉定区,上海大学附属中学,723.00
嘉定区,上海师范大学附属中学宝山分校,712.00
嘉定区,华东师范大学第二附属中学（宝山校区）,744.50
嘉定区,上海中学东校,732.50
嘉定区,上海市浦东复旦附中分校,745.00
嘉定区,华东师范大学第三附属中学,698.00
嘉定区,上海外国语大学附属外国语学校松江云间中学,730.50
浦东新区,上海财经大学附属北郊高级中学,705.00
浦东新区,同济大学第一附属中学,718.00
浦东新区,华东师范大学第二附属中学闵行紫竹分校,749.50
浦东新区,上海师范大学附属中学闵行分校,733.00
浦东新区,上海交通大学附属中学闵行分校,752.00
浦东新区,上海大学附属中学,717.50
浦东新区,上海师范大学附属中学宝山分校,714.50
浦东新区,华东师范大学第二附属中学（宝山校区）,756.00
浦东新区,上海交通大学附属中学嘉定分校,748.50
浦东新区,上海师范大学附属中学嘉定新城分校,716.50
浦东新区,华东师范大学第三附属中学,693.50
浦东新区,上海外国语大学附属外国语学校松江云间中学,728.50
浦东新区,华东师范大学第二附属中学临港奉贤分校,740.50
浦东新区,上海市实验学校东滩高级中学,712.00
金山区,华东师范大学第一附属中学,721.00
金山区,上海财经大学附属北郊高级中学,689.00
金山区,上海师范大学附属中学闵行分校,725.50
金山区,上海大学附属中学,706.50
金山区,上海交通大学附属中学嘉定分校,746.00
金山区,上海中学东校,725.00
金山区,上海外国语大学附属外国语学校松江云间中学,727.00
金山区,复旦大学附属中学青浦分校,749.00
金山区,华东师范大学第二附属中学临港奉贤分校,728.00
松江区,复旦大学附属中学徐汇分校,756.00
松江区,上海师范大学附属中学闵行分校,736.00
松江区,上海交通大学附属中学闵行分校,760.50
松江区,上海大学附属中学,718.50
松江区,上海交通大学附属中学嘉定分校,756.00
松江区,上海师范大学附属中学嘉定新城分校,720.50
松江区,上海中学东校,734.00
松江区,华东师范大学第三附属中学,712.50
松江区,复旦大学附属中学青浦分校,753.00
青浦区,华东师范大学第一附属中学,698.00
青浦区,上海师范大学附属中学闵行分校,719.50
青浦区,上海大学附属中学,703.50
青浦区,华东师范大学第二附属中学（宝山校区）,752.00
青浦区,上海交通大学附属中学嘉定分校,757.50
