id,name,short_name,district,tier,district_rank,estimated_student_count
352,上海市宝山实验学校,上海市宝山实,宝山区,一梯队,4,296
93,上海市第四中学,上海市第四中,徐汇区,,,591
138,上海市彭浦第四中学,上海市彭浦第,静安区,,,121
501,上海第二工业大学附属龚路中学,上海第二工业,浦东新区,,,283
90,上海市第五十四中学,上海市第五十,徐汇区,,,175
125,民办上海上外静安外国语中学,民办上海上外,静安区,,,161
253,上海市市光学校,上海市市光学,杨浦区,三梯队,15,228
288,上海市闵行区教育学院附属友爱实验中学,上海市闵行区,闵行区,,,129
363,上海市宝山区馨家园学校,上海市宝山区,宝山区,,,148
474,上海市六灶中学,上海市六灶中,浦东新区,,,189
191,上海市中远实验学校,上海市中远实,普陀区,三梯队,9,230
242,上海民办杨浦凯慧初级中学,上海民办杨浦,杨浦区,二梯队,6,257
521,上海市民办金苹果学校,上海市民办金,浦东新区,,,94
541,上海市康城学校,上海市康城学,浦东新区,,,189
688,上海市奉贤区肇文学校,上海市奉贤区,奉贤区,,,118
276,上海市吴泾中学,上海市吴泾中,闵行区,,,90
520,上海市建平实验中学,上海市建平实,浦东新区,一梯队,6,377
177,上海培佳双语学校,上海培佳双语,普陀区,一梯队,2,184
26,上海市嘉定区华亭学校,,嘉定区,,,40
284,上海市闵行中学附属实验中学,上海市闵行中,闵行区,,,300
67,上音比乐中学,上音比乐中学,黄浦区,,,144
473,上海市澧溪中学,上海市澧溪中,浦东新区,三梯队,16,728
9,上海市民办嘉一联合中学,,嘉定区,一梯队,3,309
241,上海市存志学校,上海市存志学,杨浦区,一梯队,4,228
193,上海外国语大学尚阳外国语学校,上海外国语大,普陀区,,,161
224,上海市杨浦初级中学,上海市杨浦初,杨浦区,,,154
513,上海市泥城中学,上海市泥城中,浦东新区,,,566
132,上海市彭浦初级中学,上海市彭浦初,静安区,三梯队,14,263
531,上海市浦东新区彭镇中学,上海市浦东新,浦东新区,,,1037
24,上海市民办远东学校,,嘉定区,,,170
636,上海市教育学会青浦清河湾中学,上海市教育学,青浦区,,,388
46,上海市曹杨中学,曹杨中学,普陀区,,,335
452,上海市川沙中学华夏西校,上海市川沙中,浦东新区,,,407
286,上海市骏博外国语学校,上海市骏博外,闵行区,,,283
344,上海市宝山区杨泰实验中学,上海市宝山区,宝山区,,,296
162,上海市怒江中学,上海市怒江中,普陀区,,,64
291,上海市七宝中学附属鑫都实验中学,上海市七宝中,闵行区,,,553
357,上海市宝山区天馨学校,上海市宝山区,宝山区,,,74
124,上海市五四中学,上海市五四中,静安区,三梯队,13,105
345,上海师范大学附属宝山经纬实验中学,上海师范大学,宝山区,二梯队,8,588
528,上海市浦东新区建平南汇实验学校,上海市浦东新,浦东新区,一梯队,1,189
782,上海市金山区龙泉学校,,金山区,,,
795,上海市青浦区思源中学,,青浦区,,,
796,上海师范大学附属青浦重固学校,,青浦区,,,
797,上海师范大学附属青浦实验中学,,青浦区,,,
798,上海市青浦区第一中学尚美分校,,青浦区,,,
799,上海青浦兰生学校,,青浦区,,,
51,向明初级中学,向明初级中学,黄浦区,二梯队,5,323
231,上海理工大学附属初级中学,上海理工大学,杨浦区,,,256
110,上海市泸定中学,上海市泸定中,长宁区,,,73
591,上海市松江九峰实验学校,上海市松江九,松江区,一梯队,1,392
516,上海市绿川学校,上海市绿川学,浦东新区,,,94
274,上海市七宝实验中学,上海市七宝实,闵行区,,,244
551,上海浦东新区民办万科学校,上海浦东新区,浦东新区,,,94
360,华东师范大学宝山实验学校,华东师范大学,宝山区,一梯队,4,74
228,上海市建设初级中学,上海市建设初,杨浦区,,,57
103,上海市第三女子初级中学,上海市第三女,长宁区,,,283
341,上海市宝山区罗店第二中学,上海市宝山区,宝山区,,,74
317,上海闵行区民办美高双语学校,上海闵行区民,闵行区,,,64
589,上海市松江区新桥中学,上海市松江区,松江区,,,442
558,上海市罗星中学,上海市罗星中,金山区,一梯队,2,479
320,上海闵行区民办德闳学校,上海闵行区民,闵行区,,,64
161,华东师范大学第四附属中学,华东师范大学,普陀区,,,271
310,上海市燎原双语学校,上海市燎原双,闵行区,,,90
453,上海市陆行中学北校,上海市陆行中,浦东新区,,,193
596,上海市松江区泖港学校,上海市松江区,松江区,,,71
670,上海市奉贤区华亭学校,上海市奉贤区,奉贤区,三梯队,7,202
53,光明初级中学,光明初级中学,黄浦区,,,64
312,上海市民办协和双语学校,上海市民办协,闵行区,,,64
328,上海市虎林中学,上海市虎林中,宝山区,,,262
543,上海浦东新区民办东鼎外国语学校,上海浦东新区,浦东新区,,,94
379,上海宝山区世外学校,上海宝山区世,宝山区,,,74
504,上海市江镇中学,上海市江镇中,浦东新区,,,94
702,上海市崇明区长明中学,上海市崇明区,崇明区,,,77
523,上海市民办中芯学校,上海市民办中,浦东新区,,,189
180,上海市沙田学校,上海市沙田学,普陀区,,,69
329,上海市泗塘中学,上海市泗塘中,宝山区,,,148
503,上海市侨光中学,上海市侨光中,浦东新区,,,189
695,上海市崇明区向化中学,上海市崇明区,崇明区,,,39
634,上海市青浦区金泽中学,上海市青浦区,青浦区,,,70
443,上海市施湾中学,上海市施湾中,浦东新区,,,193
704,上海市崇明区庙镇学校,上海市崇明区,崇明区,,,52
96,华东理工大学附属中学,华东理工大学,徐汇区,三梯队,17,403
479,上海市北蔡中学,上海市北蔡中,浦东新区,,,377
369,上海市教育学会宝山实验学校,上海市教育学,宝山区,一梯队,4,74
457,上海市六团中学,上海市六团中,浦东新区,,,171
518,上海市民办平和学校,上海市民办平,浦东新区,,,189
630,上海市青浦区白鹤中学,上海市青浦区,青浦区,,,179
222,上海市鞍山初级中学,上海市鞍山初,杨浦区,三梯队,10,446
455,上海市浦东新区进才实验中学南校,上海市浦东新,浦东新区,二梯队,10,189
421,上海市建平中学西校,上海市建平中,浦东新区,一梯队,5,471
540,上海市今日学校,上海市今日学,浦东新区,,,189
364,上海世外教育附属宝山大华实验学校,上海世外教育,宝山区,,,148
592,上海领科双语学校,上海领科双语,松江区,,,143
279,上海市闵行区浦航实验中学,上海市闵行区,闵行区,,,393
460,上海浦东新区民办欣竹中学,上海浦东新区,浦东新区,一梯队,9,189
150,上海市民办风范中学,上海市民办风,静安区,,,168
225,上海市惠民中学,上海市惠民中,杨浦区,三梯队,13,114
417,上海嘉定区世界外国语学校,上海嘉定区世,嘉定区,,,120
603,上海市松江区佘山学校,上海市松江区,松江区,,,107
423,华东师范大学附属东昌中学南校,华东师范大学,浦东新区,,,283
678,上海市奉贤区金汇学校,上海市奉贤区,奉贤区,,,67
438,上海市金川中学,上海市金川中,浦东新区,,,189
266,上海市闵行区浦江第一中学,上海市闵行区,闵行区,,,412
299,上海市马桥强恕学校,上海市马桥强,闵行区,三梯队,14,129
430,上海市清流中学,上海市清流中,浦东新区,,,94
267,上海市闵行区浦江第二中学,上海市闵行区,闵行区,,,193
304,上海市闵行区文来实验学校,上海市闵行区,闵行区,,,116
176,上海安生学校,上海安生学校,普陀区,,,69
598,上海市松江区泗泾实验学校,上海市松江区,松江区,,,143
486,上海市浦东外国语学校东校,上海市浦东外,浦东新区,,,189
15,交大附中附属嘉定德富中学,,嘉定区,,,267
378,上海民办至德实验学校,上海民办至德,宝山区,,,370
533,上海市三墩学校,上海市三墩学,浦东新区,,,283
40,上海市曹杨第二中学附属学校,曹杨二中附校,普陀区,,,299
605,上海世外教育附属松江区车墩学校,上海世外教育,松江区,,,71
109,上海市复旦初级中学,上海市复旦初,长宁区,,,210
255,上海同大实验学校,上海同大实验,杨浦区,,,104
554,上海浦东新区民办宏文学校,上海浦东新区,浦东新区,,,189
84,上海市梅园中学,上海市梅园中,徐汇区,三梯队,19,175
433,上海市浦东新区教育学院附属实验中学,上海市浦东新,浦东新区,,,193
547,上海市周浦实验学校,上海市周浦实,浦东新区,一梯队,1,94
424,上海市洋泾中学东校,上海市洋泾中,浦东新区,,,189
236,上海市鞍山实验中学,上海市鞍山实,杨浦区,,,161
428,上海市洪山中学,上海市洪山中,浦东新区,,,236
691,柘林学校师大附中教学点,柘林学校师大,奉贤区,,,51
444,上海市黄楼中学,上海市黄楼中,浦东新区,,,171
583,上海市松江二中（集团）初级中学,上海市松江二,松江区,,,285
606,上海市松江区张泽学校,上海市松江区,松江区,,,71
365,上海市宝山区教育学院实验学校,上海市宝山区,宝山区,,,74
303,上海市闵行区明星学校,上海市闵行区,闵行区,,,141
354,上海市月浦实验学校,上海市月浦实,宝山区,,,222
609,上海市西外外国语学校,上海市西外外,松江区,,,321
557,上海市浦东新区东城学校,上海市浦东新,浦东新区,,,94
