year,school_code,district,quota_count
2026,062002,闵行区,5
2026,062003,闵行区,4
2026,062004,闵行区,8
2026,062011,闵行区,7
2026,063004,闵行区,3
2026,064001,闵行区,2
2026,072002,闵行区,6
2026,073003,闵行区,6
2026,073082,闵行区,5
2026,092002,闵行区,2
2026,093001,闵行区,3
2026,102004,闵行区,4
2026,102032,闵行区,7
2026,103002,闵行区,1
2026,122001,闵行区,12
2026,123001,闵行区,12
2026,122002,闵行区,8
2026,122003,闵行区,9
2026,122004,闵行区,7
2026,132001,闵行区,8
2026,132002,闵行区,16
2026,133001,闵行区,7
2026,132003,闵行区,3
2026,133003,闵行区,3
2026,142001,闵行区,10
2026,142002,闵行区,8
2026,142004,闵行区,4
2026,152001,闵行区,8
2026,152002,闵行区,9
2026,152004,闵行区,14
2026,153001,闵行区,11
2026,153004,闵行区,8
2026,153005,闵行区,8
2026,151078,闵行区,15
2026,152005,闵行区,6
2026,162000,闵行区,14
2026,163002,闵行区,9
2026,172001,闵行区,13
2026,173001,闵行区,8
2026,172002,闵行区,10
2026,172004,闵行区,14
2026,174003,闵行区,17
2026,182001,闵行区,17
2026,183002,闵行区,16
2026,202001,闵行区,18
2026,202002,闵行区,8
2026,512000,闵行区,10
2026,042032,金山区,4
2026,102056,金山区,1
2026,102057,金山区,4
2026,152003,金山区,5
2026,152006,金山区,2
2026,012001,金山区,3
2026,012011,金山区,1
2026,042001,金山区,2
2026,042008,金山区,5
2026,042035,金山区,4
2026,043015,金山区,2
2026,052002,金山区,2
2026,062002,金山区,2
2026,092002,金山区,2
2026,102004,金山区,1
2026,122001,金山区,5
2026,123001,金山区,6
2026,122003,金山区,2
2026,132002,金山区,1
2026,133001,金山区,4
2026,142002,金山区,3
2026,142004,金山区,2
2026,152001,金山区,6
2026,152002,金山区,7
2026,152004,金山区,6
2026,153001,金山区,4
2026,153004,金山区,6
2026,153005,金山区,1
2026,151078,金山区,3
2026,162000,金山区,8
2026,163002,金山区,8
2026,172001,金山区,11
2026,173001,金山区,6
2026,172004,金山区,2
2026,174003,金山区,7
2026,182001,金山区,7
2026,183002,金山区,8
2026,202001,金山区,15
2026,202002,金山区,2
2026,042032,青浦区,4
2026,102056,青浦区,7
2026,102057,青浦区,4
2026,152003,青浦区,6
2026,152006,青浦区,2
2026,012003,青浦区,6
2026,012011,青浦区,3
2026,042001,青浦区,2
2026,042008,青浦区,4
2026,042035,青浦区,1
2026,043015,青浦区,2
2026,052001,青浦区,3
2026,052002,青浦区,3
2026,062002,青浦区,3
2026,062003,青浦区,1
2026,062011,青浦区,1
2026,092002,青浦区,1
2026,102004,青浦区,1
2026,102032,青浦区,1
2026,122001,青浦区,8
2026,123001,青浦区,4
2026,122002,青浦区,3
2026,122004,青浦区,3
2026,132001,青浦区,2
2026,132002,青浦区,2
2026,133001,青浦区,2
2026,133003,青浦区,2
2026,142001,青浦区,4
2026,142002,青浦区,4
2026,142004,青浦区,4
2026,152001,青浦区,2
2026,152002,青浦区,5
2026,152004,青浦区,5
2026,153001,青浦区,4
2026,153004,青浦区,6
2026,153005,青浦区,3
2026,162000,青浦区,4
2026,163002,青浦区,3
2026,172001,青浦区,12
2026,173001,青浦区,8
2026,172002,青浦区,8
2026,172004,青浦区,2
2026,174003,青浦区,13
2026,182001,青浦区,13
2026,183002,青浦区,13
2026,202001,青浦区,3
2026,202002,青浦区,1
2026,042032,奉贤区,4
2026,102056,奉贤区,5
2026,102057,奉贤区,4
2026,152003,奉贤区,5
2026,152006,奉贤区,2
2026,012001,奉贤区,2
2026,012002,奉贤区,20
2026,012011,奉贤区,1
