id,code,full_name,short_name,district,school_type_id,school_nature_id
332,154010,上海市沪新中学,沪新中学,浦东新区,GENERAL,PUBLIC
127,103061,上海市中原中学,中原中学,杨浦区,DISTRICT_MODEL,PUBLIC
339,154045,上海市高东中学,高东中学,浦东新区,GENERAL,PUBLIC
330,152009,上海市川沙中学友仁分校,川沙友仁,浦东新区,GENERAL,PUBLIC
169,134001,上海市宝山中学,宝山中学,宝山区,DISTRICT_MODEL,PUBLIC
338,154028,上海市川沙中学北校,川沙北校,浦东新区,GENERAL,PUBLIC
258,174016,华东师范大学松江实验高级中学,华师松江,松江区,DISTRICT_MODEL,PUBLIC
331,154008,上海市泾南中学,泾南中学,浦东新区,GENERAL,PUBLIC
365,514014,上海新纪元双语学校,新纪元双语,崇明区,GENERAL,PRIVATE
76,062002,上海市育才中学,育才中学,静安区,CITY_MODEL,PUBLIC
53,042036,复旦大学附属中学徐汇分校,复旦徐汇,徐汇区,CITY_POLICY,PUBLIC
99,073082,华东师范大学第二附属中学（普陀校区）,华二普陀,普陀区,CITY_POLICY,PUBLIC
110,092001,复旦大学附属复兴中学,复兴中学,虹口区,CITY_MODEL,PUBLIC
111,092002,华东师范大学第一附属中学,华师大一附,虹口区,CITY_MODEL,PUBLIC
122,103002,同济大学第一附属中学,同济一附,杨浦区,CITY_MODEL,PUBLIC
136,122002,华东师范大学第二附属中学闵行紫竹分校,华二紫竹,闵行区,CITY_POLICY,PUBLIC
137,122003,上海师范大学附属中学闵行分校,上师大闵行,闵行区,CITY_POLICY,PUBLIC
167,132003,上海师范大学附属中学宝山分校,上师大宝山,宝山区,CITY_POLICY,PUBLIC
184,142002,上海交通大学附属中学嘉定分校,交大嘉分,嘉定区,CITY_POLICY,PUBLIC
80,063004,上海市第六十中学,六十中学,静安区,CITY_MODEL,PUBLIC
325,133002,上海师范大学附属宝山罗店中学,罗店中学,宝山区,DISTRICT_FEATURED,PUBLIC
51,043015,上海市南洋中学,南洋中学,徐汇区,CITY_MODEL,PUBLIC
48,042001,上海市第二中学,市二中学,徐汇区,CITY_MODEL,PUBLIC
57,044111,上海市第四中学,市四中学,徐汇区,GENERAL,PUBLIC
38,012002,上海市格致中学（奉贤校区）,格致奉贤,黄浦区,CITY_POLICY,PUBLIC
117,094001,上海市鲁迅中学,鲁迅中学,虹口区,GENERAL,PUBLIC
135,123001,上海市闵行中学,闵行中学,闵行区,CITY_MODEL,PUBLIC
