初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩,末位录取考生成绩
上海市普陀区教育学院附属学校,华东师范大学第二附属中学（普陀校区）,745.5,否,411.5,132,134,136
上海市晋元高级中学附属学校,上海市晋元高级中学,730.5,否,403,130,130,133
上海市晋元高级中学附属学校,上海市曹杨第二中学,743.5,否,409.5,134,133,141
上海市晋元高级中学附属学校,上海市宜川中学,721,是,391,122,133,138
上海市晋元高级中学附属学校,华东师范大学第二附属中学（普陀校区）,752,否,421,139,136,136
上海市曹杨第二中学附属学校,上海市晋元高级中学,728.5,否,403.5,121,134,129
上海市曹杨第二中学附属学校,上海市曹杨第二中学,745,否,411,134,132,139
上海市曹杨第二中学附属学校,上海市宜川中学,718.5,否,395.5,123,128,130
上海市曹杨第二中学附属学校,华东师范大学第二附属中学（普陀校区）,752.5,否,416.5,132,136,141
上海市曹杨第二中学附属学校,上海交通大学附属中学,764,否,430.5,150,133,138
上海市民办新黄浦实验学校,上海市晋元高级中学,725.5,否,401.5,131,129,128
上海市民办新黄浦实验学校,上海市曹杨第二中学,748,否,413,137,133,140
上海市民办新黄浦实验学校,上海市宜川中学,713.5,否,389.5,121,125,134
上海市民办新黄浦实验学校,华东师范大学第二附属中学（普陀校区）,758.5,否,423.5,145,137,139
上海市江宁学校,上海市晋元高级中学,732.5,否,395.5,127,123,140
上海市江宁学校,上海市曹杨第二中学,736.5,否,405.5,127,134,136
上海市江宁学校,上海市宜川中学,718,否,392,129,120,133
上海市江宁学校,华东师范大学第二附属中学（普陀校区）,755,否,417,146,126,143
上海市江宁学校,华东师范大学第二附属中学,758.5,否,417,136,134,146
上海市中远实验学校,上海市晋元高级中学,732.5,否,406.5,142,126,135
上海市中远实验学校,上海市曹杨第二中学,740.5,否,411.5,135,135,135
上海市中远实验学校,上海市宜川中学,720.5,否,395,119,130,134
上海市中远实验学校,华东师范大学第二附属中学（普陀校区）,756,否,415,134,134,144
上海市中远实验学校,上海师范大学附属中学,727,否,395,123,130,138
初中学校,招生学校,录取最低分     (含学业考总成绩和综合素质评价成绩),是否同分优待,语数外,数学,语文,综合测试
上海市金鼎学校,上海市晋元高级中学,661,否,343,122,111,127
上海市金鼎学校,上海市曹杨第二中学,689.5,否,380.5,118,128,131
上海外国语大学尚阳外国语学校,上海市上海中学,757.5,否,419.5,144,130,142
上海外国语大学尚阳外国语学校,上海市晋元高级中学,730,否,406,128,137,130
上海外国语大学尚阳外国语学校,上海市曹杨第二中学,743.5,否,406.5,134,134,140
上海外国语大学尚阳外国语学校,上海市宜川中学,725,否,400.5,140,135,135
上海外国语大学尚阳外国语学校,华东师范大学第二附属中学（普陀校区）,751,否,423,140,138,133
上海市文达学校,上海市晋元高级中学,717.5,否,382.5,126,126,141
上海市文达学校,上海市曹杨第二中学,719.5,否,388.5,127,119,139
上海市文达学校,上海市宜川中学,708,否,381,117,125,134
上海市文达学校,华东师范大学第二附属中学（普陀校区）,733.5,否,400.5,130,129,137
上海市文达学校,华东师范大学第二附属中学,747,否,411,137,130,136
上海理工大学附属普陀实验学校,上海市晋元高级中学,726.5,否,396.5,133,124,134
上海理工大学附属普陀实验学校,上海市曹杨第二中学,736,否,404,135,130,136
上海理工大学附属普陀实验学校,上海市宜川中学,709.5,否,388.5,120,125,128
上海理工大学附属普陀实验学校,华东师范大学第二附属中学（普陀校区）,745.5,否,411.5,134,138,138
上海市万里城实验学校,上海市晋元高级中学,728,否,396,129,126,136
上海市万里城实验学校,上海市曹杨第二中学,738,否,404.5,131,132,135
上海市万里城实验学校,上海市宜川中学,715,否,388,121,131,134
上海市万里城实验学校,华东师范大学第二附属中学（普陀校区）,746.5,否,414.5,139,131,138
上海市万里城实验学校,上海交通大学附属中学,754,否,416,138,131,142
