年份,初中学校,初中学校代码,高中代码,高中名称,计划数
2024,0,上海市傅雷中学,,上海中学东校,3
2024,0,上海市傅雷中学,,上海市浦东复旦附中分校,1
2024,0,上海市澧溪中学,,华东师范大学第二附属中学,1
2024,0,上海市澧溪中学,,上海市建平中学,5
2024,0,上海市澧溪中学,,上海市进才中学,4
2024,0,上海市澧溪中学,,上海市洋泾中学,5
2024,0,上海市澧溪中学,,上海市川沙中学,3
2024,0,上海市澧溪中学,,上海 南汇中学,5
2024,0,上海市澧溪中学,,上海市高桥中学,3
2024,0,上海市澧溪中学,,上海中学东校,2
2024,0,上海市澧溪中学,,上海市浦东复旦附中分校,1
2024,0,上海市六灶中学,,复旦大学附属中学,1
2024,0,上海市六灶中学,,上海市建平中学,1
2024,0,上海市六灶中学,,上海市进才中学,1
2024,0,上海市六灶中学,,上海市洋泾中学,1
2024,0,上海市六灶中学,,上海市川沙中学,1
2024,0,上海市六灶中学,,上海 南汇中学,1
2024,0,上海市六灶中学,,上海市高桥中学,1
2024,0,上海市六灶中学,,上海中学东校,1
2024,0,上海市浦东教育发展研究院附属中学,,上海市实验学校,1
2024,0,上海市浦东教育发展研究院附属中学,,上海市建平中学,1
2024,0,上海市浦东教育发展研究院附属中学,,上海市进才中学,1
2024,0,上海市浦东教育发展研究院附属中学,,上海市洋泾中学,1
2024,0,上海市浦东教育发展研究院附属中学,,上海市川沙中学,1
2024,0,上海市浦东教育发展研究院附属中学,,上海 南汇中学,1
2024,0,上海市浦东教育发展研究院附属中学,,上海市高桥中学,1
2024,0,上海市浦东教育发展研究院附属中学,,上海中学东校,1
