类别,说明
到校-校区分配,宝山区|上海市宝山区天馨学校|华东师范大学第二附属中学|748.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区上海大学附属中学实验学校|华东师范大学第二附属中学|751 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|华东师范大学宝山实验学校|华东师范大学第二附属中学|756 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海大学附属学校|华东师范大学第二附属中学|747 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海农场学校|华东师范大学第二附属中学|751.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区馨家园学校|华东师范大学第二附属中学|715 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区淞谊实验学校|华东师范大学第二附属中学|750.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区鹿鸣学校|华东师范大学第二附属中学|751 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区庙行实验学校|华东师范大学第二附属中学|752.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区顾村实验学校|华东师范大学第二附属中学|743 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区行知外国语学校|华东师范大学第二附属中学|751 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区新民实验学校|华东师范大学第二附属中学|752.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市刘行新华实验学校|华东师范大学第二附属中学|758.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海民办华曜宝山实验学校|华东师范大学第二附属中学|761.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海大学附属宝山外国语学校|华东师范大学第二附属中学|753.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市白茅岭学校（上海市白茅岭学校军天湖分校）|华东师范大学第二附属中学|722 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市行知中学附属宝山实验学校|华东师范大学第二附属中学|740 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海民办至德实验学校|华东师范大学第二附属中学|762 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海宝山区世外学校|华东师范大学第二附属中学|760 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海师范大学附属宝山实验学校|华东师范大学第二附属中学|758 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海师范大学附属宝山潜溪学校|华东师范大学第二附属中学|761.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区南大实验学校|华东师范大学第二附属中学|746.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海世外教育附属宝山美兰湖实验学校|华东师范大学第二附属中学|751.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市存志附属宝山实验学校|华东师范大学第二附属中学|753 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区顾村科技园学校|华东师范大学第二附属中学|753.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|华东师范大学附属宝山宝杨实验学校|华东师范大学第二附属中学|760 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,宝山区|上海市宝山区陈伯吹罗店实验学校|华东师范大学第二附属中学|735 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,崇明区|上海市崇明区长江学校|华东师范大学第二附属中学|670.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,徐汇区|上海市位育初级中学|上海市第二中学|738.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市位育初级中学|上海市第二中学|737 -> 上海市第二中学(042001)
