序号,招生代码,学校名称,所属区,区代码,学校类型,寄宿情况,计划区域,计划数
67,173001,上海市松江一中,松江区,SJ,市实验性示范性高中,部分寄宿,全市,84
68,172002,华东师范大学第二附属中学松江分校,松江区,SJ,享受市实验性示范性高中招生政策高中,全部寄宿,全市,50
69,172004,上海师范大学附属中学松江分校,松江区,SJ,享受市实验性示范性高中招生政策高中,全部寄宿,全市,31
70,174003,上海外国语大学附属外国语学校松江云间中学,松江区,SJ,享受市实验性示范性高中招生政策高中,部分寄宿,全市,84
71,182001,上海市青浦高级中学,青浦区,QP,市实验性示范性高中,部分寄宿,全市,135
72,183002,上海市朱家角中学,青浦区,QP,市实验性示范性高中,部分寄宿,全市,129
73,182002,复旦大学附属中学青浦分校,青浦区,QP,享受市实验性示范性高中招生政策高中,全部寄宿,全市,62
74,202001,上海市奉贤中学,奉贤区,FX,市实验性示范性高中,全部寄宿,全市,94
75,202002,华东师范大学第二附属中学临港奉贤分校,奉贤区,FX,享受市实验性示范性高中招生政策高中,全部寄宿,全市,64
76,512000,上海市崇明中学,崇明区,CM,市实验性示范性高中,全部寄宿,全市,62
77,512001,上海市实验学校东滩高级中学,崇明区,CM,享受市实验性示范性高中招生政策高中,全部寄宿,全市,31
