年份,批次,区名称,初中学校代码,初中学校,高中学校代码,名额,文件来源
2025,名额分配到校,静安,064021,上海市民办扬波中学,062011,6,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064021,上海市民办扬波中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064021,上海市民办扬波中学,064001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064021,上海市民办扬波中学,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064021,上海市民办扬波中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,062001,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,062002,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,062003,4,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,062011,5,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,063004,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,064001,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,042032,3,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064023,上海市民办新和中学,102056,1,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064024,上海市民办风范中学,062001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064024,上海市民办风范中学,062002,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064024,上海市民办风范中学,062003,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064024,上海市民办风范中学,062011,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064024,上海市民办风范中学,063004,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064024,上海市民办风范中学,064001,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
2025,名额分配到校,静安,064024,上海市民办风范中学,042032,2,2025年上海市高中名额分配到校招生计划（静安区）.pdf
