年份,区域,初中学校,高中学校,录取分数线
2024,宝山,上海市民办锦秋学校,,709
2024,宝山,上海市民办锦秋学校,,734.5
2024,宝山,上海市月浦实验学校,,742
2024,宝山,上海市月浦实验学校,,716
2024,宝山,上海市月浦实验学校,,726
2024,宝山,上海市月浦实验学校,,714.5
2024,宝山,上海市月浦实验学校,,754
2024,宝山,上海市宝钢新世纪学校,,733
2024,宝山,上海市宝钢新世纪学校,,714.5
2024,宝山,上海市宝钢新世纪学校,,717
2024,宝山,上海市宝钢新世纪学校,,720.5
2024,宝山,上海市宝钢新世纪学校,,751
2024,宝山,上海市吴淞实验学校,,752.5
2024,宝山,上海市吴淞实验学校,,731.5
2024,宝山,上海市吴淞实验学校,,704.5
2024,宝山,上海市吴淞实验学校,,736
2024,宝山,上海市吴淞实验学校,,722
2024,宝山,上海市吴淞实验学校,,741.5
2024,宝山,上海市宝山区天馨学校,,740
2024,宝山,上海市宝山区天馨学校,,724
2024,宝山,上海市宝山区天馨学校,,735
2024,宝山,上海市宝山区天馨学校,,749.5
2024,宝山,上海市宝山区上海大学附属中学实验学校,,737
2024,宝山,上海市宝山区上海大学附属中学实验学校,,723
2024,宝山,上海市宝山区上海大学附属中学实验学校,,729.5
2024,宝山,上海市宝山区上海大学附属中学实验学校,,710.5
2024,宝山,上海市宝山区上海大学附属中学实验学校,,751
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市宝山区共富实验学校,,721.5
2024,宝山,上海市宝山区共富实验学校,,704.5
2024,宝山,上海市宝山区共富实验学校,,701
2024,宝山,上海市宝山区共富实验学校,,708
2024,宝山,上海市宝山区共富实验学校,,738
2024,宝山,华东师范大学宝山实验学校,,736
2024,宝山,华东师范大学宝山实验学校,,724
2024,宝山,华东师范大学宝山实验学校,,715.5
2024,宝山,华东师范大学宝山实验学校,,752
2024,宝山,华东师范大学宝山实验学校,,752.5
2024,宝山,上海大学附属学校,,739
2024,宝山,上海大学附属学校,,726.5
2024,宝山,上海大学附属学校,,733.5
2024,宝山,上海大学附属学校,,713.5
2024,宝山,上海大学附属学校,,751.5
2024,宝山,上海农场学校,,725
2024,宝山,上海农场学校,,692.5
2024,宝山,上海农场学校,,702
2024,宝山,上海农场学校,,737.5
2024,宝山,上海市宝山区馨家园学校,,731
2024,宝山,上海市宝山区馨家园学校,,708
2024,宝山,上海市宝山区馨家园学校,,725.5
2024,宝山,上海市宝山区馨家园学校,,710.5
2024,宝山,上海市宝山区馨家园学校,,743
2024,宝山,上海世外教育附属宝山大华实验学校,,759.5
2024,宝山,上海世外教育附属宝山大华实验学校,,725
2024,宝山,上海世外教育附属宝山大华实验学校,,719
2024,宝山,上海世外教育附属宝山大华实验学校,,696.5
2024,宝山,上海世外教育附属宝山大华实验学校,,739.5
2024,宝山,上海市宝山区教育学院实验学校,,728
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市宝山区教育学院实验学校,,706
2024,宝山,上海市宝山区教育学院实验学校,,716.5
2024,宝山,上海市宝山区教育学院实验学校,,733.5
2024,宝山,上海市宝山区鹿鸣学校,,740.5
2024,宝山,上海市宝山区鹿鸣学校,,719.5
2024,宝山,上海市宝山区鹿鸣学校,,735
2024,宝山,上海市宝山区鹿鸣学校,,711
2024,宝山,上海市宝山区鹿鸣学校,,747
2024,宝山,上海市宝山区庙行实验学校,,715
2024,宝山,上海市宝山区庙行实验学校,,704
2024,宝山,上海市宝山区庙行实验学校,,717.5
2024,宝山,上海市宝山区庙行实验学校,,713
2024,宝山,上海市宝山区庙行实验学校,,741.5
2024,宝山,上海市宝山区顾村实验学校,,730.5
2024,宝山,上海市宝山区顾村实验学校,,710
2024,宝山,上海市宝山区顾村实验学校,,717.5
2024,宝山,上海市宝山区顾村实验学校,,706.5
2024,宝山,上海市宝山区顾村实验学校,,738.5
2024,宝山,上海市教育学会宝山实验学校,,717.5
2024,宝山,上海市教育学会宝山实验学校,,716
2024,宝山,上海市教育学会宝山实验学校,,713.5
2024,宝山,上海市教育学会宝山实验学校,,737.5
2024,宝山,上海市宝山区行知外国语学校,,735.5
2024,宝山,上海市宝山区行知外国语学校,,713.5
2024,宝山,上海市宝山区行知外国语学校,,718
2024,宝山,上海市宝山区行知外国语学校,,718.5
2024,宝山,上海市宝山区行知外国语学校,,752.5
2024,宝山,上海市宝山区新民实验学校,,756.5
2024,宝山,上海市宝山区新民实验学校,,708
2024,宝山,上海市宝山区新民实验学校,,705.5
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海市宝山区新民实验学校,,712.5
2024,宝山,上海市宝山区新民实验学校,,743.5
2024,宝山,上海市刘行新华实验学校,,732.5
2024,宝山,上海市刘行新华实验学校,,719
2024,宝山,上海市刘行新华实验学校,,732
2024,宝山,上海市刘行新华实验学校,,716.5
2024,宝山,上海市刘行新华实验学校,,758
2024,宝山,上海民办华曜宝山实验学校,,727
2024,宝山,上海民办华曜宝山实验学校,,717.5
2024,宝山,上海民办华曜宝山实验学校,,724
2024,宝山,上海民办华曜宝山实验学校,,709.5
2024,宝山,上海民办华曜宝山实验学校,,755.5
2024,宝山,上海大学附属宝山外国语学校,,739
2024,宝山,上海大学附属宝山外国语学校,,718.5
2024,宝山,上海大学附属宝山外国语学校,,714.5
2024,宝山,上海大学附属宝山外国语学校,,749.5
2024,宝山,上海市白茅岭学校（上海市白茅岭学校军天湖分校）,,696.5
2024,宝山,上海外国语大学附属宝山双语学校,,726.5
2024,宝山,上海外国语大学附属宝山双语学校,,703
2024,宝山,上海外国语大学附属宝山双语学校,,711
2024,宝山,上海外国语大学附属宝山双语学校,,706.5
2024,宝山,上海外国语大学附属宝山双语学校,,742.5
2024,宝山,上海市行知中学附属宝山实验学校,,728.5
2024,宝山,上海市行知中学附属宝山实验学校,,717.5
2024,宝山,上海市行知中学附属宝山实验学校,,710.5
2024,宝山,上海市行知中学附属宝山实验学校,,750
2024,宝山,上海民办至德实验学校,,759.5
2024,宝山,上海民办至德实验学校,,741.5
2024,宝山,上海民办至德实验学校,,711.5
2024,宝山,上海民办至德实验学校,,717.5
2024,宝山,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,宝山,上海民办至德实验学校,,724
2024,宝山,上海民办至德实验学校,,751.5
2024,宝山,上海宝山区世外学校,,741
2024,宝山,上海宝山区世外学校,,715.5
2024,宝山,上海宝山区世外学校,,713
2024,宝山,上海宝山区世外学校,,756
2024,宝山,上海师范大学附属宝山实验学校,,748.5
2024,宝山,上海师范大学附属宝山实验学校,,725.5
2024,宝山,上海师范大学附属宝山实验学校,,706
2024,宝山,上海师范大学附属宝山实验学校,,749.5
2024,宝山,上海师范大学附属宝山潜溪学校,,723
2024,宝山,上海师范大学附属宝山潜溪学校,,709.5
2024,宝山,上海师范大学附属宝山潜溪学校,,721
2024,宝山,上海师范大学附属宝山潜溪学校,,730
2024,宝山,上海市存志附属宝山实验学校,,743.5
2024,宝山,上海市存志附属宝山实验学校,,697
2024,宝山,上海市存志附属宝山实验学校,,706.5
2024,宝山,上海市存志附属宝山实验学校,,733
2024,宝山,华东师范大学附属宝山宝杨实验学校,,712.5
2024,宝山,华东师范大学附属宝山宝杨实验学校,,696.5
2024,宝山,华东师范大学附属宝山宝杨实验学校,,699.5
2024,宝山,华东师范大学附属宝山宝杨实验学校,,737
2024,宝山,上海市宝山区陈伯吹罗店实验学校,,696.5
2024,宝山,上海市宝山区陈伯吹罗店实验学校,,708.5
