年份,批次,区名称,招生学校,录取最低分,是否同分优待
2025,名额分配到区,普陀区,上海市浦东复旦附中分校,729.5,否
2025,名额分配到区,普陀区,上海师范大学附属中学,726.5,否
2025,名额分配到区,普陀区,上海市洋泾中学,706,否
2025,名额分配到区,普陀区,上海市高桥中学,697,否
2025,名额分配到区,普陀区,上海市川沙中学,718.5,否
2025,名额分配到区,普陀区,上海市金山中学,722,否
2025,名额分配到区,普陀区,华东师范大学第三附属中学,683.5,否
2025,名额分配到区,普陀区,上海市松江二中,725,否
2025,名额分配到区,普陀区,上海市松江一中,702.5,否
2025,名额分配到区,普陀区,上海外国语大学附属外国语学校松江云间中学,729,否
2025,名额分配到区,普陀区,上海市青浦高级中学,692.5,否
2025,名额分配到区,普陀区,复旦大学附属中学青浦分校,748.5,否
2025,名额分配到区,普陀区,上海市朱家角中学,702,否
2025,名额分配到区,普陀区,上海市奉贤中学 院,737.5,否
2025,名额分配到区,普陀区,上海市崇明中学,705.5,否
2025,名额分配到区,虹口区,上海市格致中学,740,否
2025,名额分配到区,虹口区,上海外国语大学附属大境中学,683.5,否
2025,名额分配到区,虹口区,上海市光明中学,690,否
2025,名额分配到区,虹口区,上海市敬业中学,718.5,否
2025,名额分配到区,虹口区,上海市第二中学,671.5,否
2025,名额分配到区,虹口区,院,741,否
2025,名额分配到区,虹口区,上海市上海中学,733.5,否
2025,名额分配到区,虹口区,上海市位育中学,717.5,否
2025,名额分配到区,虹口区,上海市第三女子中学,712,否
2025,名额分配到区,虹口区,上海市延安中学,727,否
2025,名额分配到区,虹口区,上海市复旦中学,697.5,否
2025,名额分配到区,虹口区,上海市育才中学,716,否
2025,名额分配到区,虹口区,上海市新中高级中学,696.5,否
2025,名额分配到区,虹口区,上海市市北中学,723,否
2025,名额分配到区,虹口区,上海市回民中学,694,否
2025,名额分配到区,虹口区,上海市第六十中学,688.5,否
2025,名额分配到区,虹口区,上海市晋元高级中学,715.5,否
2025,名额分配到区,虹口区,上海市曹杨第二中学,742,否
2025,名额分配到区,虹口区,上海市宜川中学,685.5,否
2025,名额分配到区,虹口区,华东师范大学第二附属中学（普陀校区）,748.5,否
2025,名额分配到区,虹口区,复旦大学附属复兴中学,743,否
2025,名额分配到区,虹口区,华东师范大学第一附属中学,726.5,否
2025,名额分配到区,虹口区,上海财经大学附属北郊高级中学,710.5,否
2025,名额分配到区,虹口区,上海市杨浦高级中学,727,否
2025,名额分配到区,虹口区,上海市控江中学,741.5,否
2025,名额分配到区,虹口区,上海交通大学附属中学,755.5,否
2025,名额分配到区,虹口区,复旦大学附属中学,755,否
2025,名额分配到区,虹口区,同济大学第一附属中学,722.5,否
2025,名额分配到区,虹口区,上海市七宝中学,746.5,否
2025,名额分配到区,虹口区,华东师范大学第二附属中学闵行紫竹分校,747.5,否
2025,名额分配到区,虹口区,上海师范大学附属中学闵行分校,692.5,否
2025,名额分配到区,虹口区,上海市闵行中学,696.5,否
2025,名额分配到区,虹口区,上海市行知中学 院,716.5,否
2025,名额分配到区,虹口区,上海大学附属中学,710,否
2025,名额分配到区,虹口区,上海师范大学附属中学宝山分校,704,否
2025,名额分配到区,虹口区,上海市吴淞中学,720,否
2025,名额分配到区,虹口区,华东师范大学第二附属中学（宝山校区）,752.5,否
2025,名额分配到区,虹口区,上海交通大学附属中学嘉定分校,745.5,否
2025,名额分配到区,虹口区,上海中学东校,731,否
2025,名额分配到区,虹口区,上海市建平中学,742.5,否
2025,名额分配到区,虹口区,上海市进才中学,737.5,否
2025,名额分配到区,虹口区,华东师范大学第二附属中学,746,否
2025,名额分配到区,虹口区,上海南汇中学,697,否
2025,名额分配到区,虹口区,上海市浦东复旦附中分校,748.5,否
2025,名额分配到区,虹口区,上海市洋泾中学,711,否
2025,名额分配到区,虹口区,上海市高桥中学,678.5,否
2025,名额分配到区,虹口区,上海市川沙中学,710.5,否
2025,名额分配到区,虹口区,上海市金山中学,704.5,否
2025,名额分配到区,虹口区,华东师范大学第三附属中学,674.5,否
2025,名额分配到区,虹口区,上海市松江二中,735.5,否
2025,名额分配到区,虹口区,上海市松江一中,689.5,否
2025,名额分配到区,虹口区,上海外国语大学附属外国语学校松江云间中学,719,否
2025,名额分配到区,虹口区,上海市青浦高级中学,697.5,否
2025,名额分配到区,虹口区,复旦大学附属中学青浦分校,752.5,否
2025,名额分配到区,虹口区,上海市朱家角中学,656,否
2025,名额分配到区,虹口区,上海市奉贤中学,717.5,否
2025,名额分配到区,虹口区,华东师范大学第二附属中学临港奉贤分校,718.5,否
2025,名额分配到区,虹口区,上海市崇明中学,706.5,否
2025,名额分配到区,虹口区,上海市实验学校东滩高级中学,708.5,否
2025,名额分配到区,杨浦区,上海市格致中学,743.5,否
2025,名额分配到区,杨浦区,上海市向明中学,696,否
2025,名额分配到区,杨浦区,上海外国语大学附属大境中学,722,否
2025,名额分配到区,杨浦区,上海市光明中学,710.5,否
2025,名额分配到区,杨浦区,上海市敬业中学,725,否
2025,名额分配到区,杨浦区,院,719,否
2025,名额分配到区,杨浦区,上海市南洋模范中学,740,否
2025,名额分配到区,杨浦区,上海市上海中学,753.5,否
2025,名额分配到区,杨浦区,复旦大学附属中学徐汇分校,755,否
2025,名额分配到区,杨浦区,上海市南洋中学,714,否
2025,名额分配到区,杨浦区,上海市第三女子中学,708.5,否
2025,名额分配到区,杨浦区,上海市延安中学,735,否
2025,名额分配到区,杨浦区,上海市复旦中学,704.5,否
2025,名额分配到区,杨浦区,上海市市西中学,731,否
2025,名额分配到区,杨浦区,上海市育才中学,705,否
2025,名额分配到区,杨浦区,上海市新中高级中学,704.5,否
2025,名额分配到区,杨浦区,上海市市北中学,722.5,否
2025,名额分配到区,杨浦区,上海市回民中学,677,否
2025,名额分配到区,杨浦区,上海市第六十中学,689,否
2025,名额分配到区,杨浦区,上海市晋元高级中学,722,否
2025,名额分配到区,杨浦区,上海市曹杨第二中学,748,否
2025,名额分配到区,杨浦区,上海市宜川中学,713.5,否
2025,名额分配到区,杨浦区,复旦大学附属复兴中学,742.5,否
2025,名额分配到区,杨浦区,华东师范大学第一附属中学,731.5,否
2025,名额分配到区,杨浦区,上海财经大学附属北郊高级中学,714,否
2025,名额分配到区,杨浦区,上海市杨浦高级中学,733.5,否
2025,名额分配到区,杨浦区,上海市控江中学,751.5,否
2025,名额分配到区,杨浦区,上海交通大学附属中学,757,否
2025,名额分配到区,杨浦区,复旦大学附属中学,760,否
2025,名额分配到区,杨浦区,同济大学第一附属中学,728,否
2025,名额分配到区,杨浦区,上海市七宝中学,747.5,否
2025,名额分配到区,杨浦区,华东师范大学第二附属中学闵行紫竹分校,754,否
2025,名额分配到区,杨浦区,上海师范大学附属中学闵行分校院,729.5,否
2025,名额分配到区,杨浦区,上海交通大学附属中学闵行分校,748,否
2025,名额分配到区,杨浦区,上海市闵行中学,710.5,否
2025,名额分配到区,杨浦区,上海市行知中学,728,否
2025,名额分配到区,杨浦区,上海大学附属中学,706,否
2025,名额分配到区,杨浦区,上海市吴淞中学,705,否
2025,名额分配到区,杨浦区,华东师范大学第二附属中学（宝山校区）,755.5,否
2025,名额分配到区,杨浦区,上海市第一中学,721,否
2025,名额分配到区,杨浦区,上海交通大学附属中学嘉定分校,746,否
2025,名额分配到区,杨浦区,上海师范大学附属中学嘉定新城分校,731.5,否
2025,名额分配到区,杨浦区,上海中学东校,737,否
2025,名额分配到区,杨浦区,上海市建平中学,746,否
2025,名额分配到区,杨浦区,上海市进才中学,746,否
2025,名额分配到区,杨浦区,华东师范大学第二附属中学,740.5,否
