school_id,school_name,school_district_id,school_district_name,target_district_id,target_district_name,cutoff_score_2024
182,上海宝山区世外学校,10,宝山区,4,长宁区,682.00
182,上海宝山区世外学校,10,宝山区,5,静安区,668.50
182,上海宝山区世外学校,10,宝山区,6,普陀区,673.50
182,上海宝山区世外学校,10,宝山区,8,杨浦区,687.50
182,上海宝山区世外学校,10,宝山区,9,闵行区,671.50
182,上海宝山区世外学校,10,宝山区,11,嘉定区,666.00
182,上海宝山区世外学校,10,宝山区,12,浦东新区,672.50
182,上海宝山区世外学校,10,宝山区,13,金山区,657.00
182,上海宝山区世外学校,10,宝山区,14,松江区,648.00
182,上海宝山区世外学校,10,宝山区,15,青浦区,676.00
190,上海市民办远东学校,11,嘉定区,2,黄浦区,555.00
190,上海市民办远东学校,11,嘉定区,3,徐汇区,595.50
190,上海市民办远东学校,11,嘉定区,4,长宁区,565.00
190,上海市民办远东学校,11,嘉定区,8,杨浦区,543.50
190,上海市民办远东学校,11,嘉定区,9,闵行区,584.50
190,上海市民办远东学校,11,嘉定区,10,宝山区,564.00
190,上海市民办远东学校,11,嘉定区,14,松江区,559.50
190,上海市民办远东学校,11,嘉定区,15,青浦区,574.00
190,上海市民办远东学校,11,嘉定区,16,奉贤区,577.00
191,上海华旭双语学校,11,嘉定区,2,黄浦区,550.50
191,上海华旭双语学校,11,嘉定区,3,徐汇区,543.00
191,上海华旭双语学校,11,嘉定区,5,静安区,526.50
191,上海华旭双语学校,11,嘉定区,6,普陀区,540.00
191,上海华旭双语学校,11,嘉定区,8,杨浦区,518.00
191,上海华旭双语学校,11,嘉定区,9,闵行区,518.00
191,上海华旭双语学校,11,嘉定区,10,宝山区,518.00
192,上海嘉定区民办华盛怀少学校,11,嘉定区,2,黄浦区,549.50
192,上海嘉定区民办华盛怀少学校,11,嘉定区,3,徐汇区,546.00
192,上海嘉定区民办华盛怀少学校,11,嘉定区,5,静安区,526.00
192,上海嘉定区民办华盛怀少学校,11,嘉定区,6,普陀区,542.50
192,上海嘉定区民办华盛怀少学校,11,嘉定区,8,杨浦区,518.00
192,上海嘉定区民办华盛怀少学校,11,嘉定区,9,闵行区,544.50
192,上海嘉定区民办华盛怀少学校,11,嘉定区,10,宝山区,518.00
192,上海嘉定区民办华盛怀少学校,11,嘉定区,12,浦东新区,548.00
192,上海嘉定区民办华盛怀少学校,11,嘉定区,13,金山区,607.00
