各初中学校考生人数（按到校名额占比推算，非官方公布）,,,,
推算方法：名额分配到校计划按各初中应届毕业生占全区比例均衡分配，故 推算考生数 = 全区考生数 × (该校到校名额合计 ÷ 全区到校名额合计)。全区考生数取自本工作簿『考生人数』Sheet（16区为民间估算，非官方口径）；到校名额合计取自『名额分配到校计划(逐校)』。结果四舍五入，单校误差约 ±(全区考生数÷全区到校名额) 人/名额；仅覆盖实际拿到到校名额的初中，个别 0 名额校（多为无中招报名资格或极小规模）不在此表。此数为推算值，仅供量级参考，正式用途以上海市教育考试院公布为准。,,,,
区,初中学校,推算考生数(人),到校名额合计,占全区比例(%)
宝山区,上海市宝山区新民实验学校,161,15,1.39
宝山区,上海市行知实验中学,150,14,1.3
宝山区,上海市宝山区天馨学校,150,14,1.3
宝山区,上海市虎林中学,140,13,1.21
宝山区,上海外国语大学附属宝山双语学校,140,13,1.21
宝山区,华东师范大学附属宝山宝杨实验学校,140,13,1.21
宝山区,上海市大华中学,129,12,1.12
宝山区,上海市宝山区乐之中学,129,12,1.12
宝山区,上海市宝山中学,129,12,1.12
宝山区,上海市吴淞中学附属宝山实验学校,118,11,1.02
宝山区,上海市吴淞第二中学,118,11,1.02
宝山区,上海市宝山区求真中学南校,118,11,1.02
宝山区,上海市大场中学,118,11,1.02
宝山区,上海世外教育附属宝山大华实验学校,118,11,1.02
宝山区,上海市宝山区求真中学北校,107,10,0.93
宝山区,上海市宝山区美兰湖中学,107,10,0.93
宝山区,上海师范大学附属宝山罗店中学,97,9,0.84
宝山区,上海市宝山区淞谊实验学校,97,9,0.84
宝山区,上海宝山区世外学校,97,9,0.84
宝山区,上海师范大学附属宝山实验学校,97,9,0.84
宝山区,上海世外教育附属宝山美兰湖实验学校,97,9,0.84
宝山区,上海市宝山区南大实验学校,86,8,0.74
宝山区,上海市宝山区陈伯吹罗店实验学校,86,8,0.74
宝山区,上海市盛桥中学,75,7,0.65
宝山区,上海市民办锦秋学校,64,6,0.56
宝山区,上海市宝山区吴淞初级中学,54,5,0.46
宝山区,上海金瑞学校,54,5,0.46
