2026 年上海中考 名额分配到区 招生录取最低分数线（按接收区）,,,,,,,,,
,,,,,,,,,
接收区,招生学校,隶属区,办学性质,录取最低分,语数外,数学,语文,综合测试,是否同分优待
宝山区,华东师范大学第二附属中学,,,764,422,150,130,146,否
宝山区,上海南汇中学,,,723,398,131,122,131,否
宝山区,上海市浦东复旦附中分校,,,761,418,140,137,148,否
宝山区,上海市高桥中学,,,721.5,392.5,128,126,141,否
宝山区,上海市川沙中学,,,721,394,121,127,136,否
宝山区,上海市金山中学,,,726.5,398.5,139,132,138,否
宝山区,华东师范大学第三附属中学,,,713.5,398.5,137,126,123,否
宝山区,上海市松江二中,,,749.5,419.5,141,133,139,否
宝山区,上海市松江一中,,,717.5,390.5,129,119,137,否
宝山区,上海外国语大学附属外国语学校松江云间中学,,,742,407,138,127,141,否
宝山区,上海市青浦高级中学,,,722.5,400,131,128,135,否
宝山区,复旦大学附属中学青浦分校,,,758.5,419.5,143,132,140,否
宝山区,上海市朱家角中学,,,709.5,379.5,119,128,135,否
宝山区,上海市奉贤中学,,,743.5,401,136,119,146,否
宝山区,华东师范大学第二附属中学临港奉贤分校,,,712,376,123,115,141,否
宝山区,上海市崇明中学,,,715,388.5,123,122,132,否
宝山区,上海市实验学校东滩高级中学,,,725.5,394.5,125,129,136,否
崇明区,同济大学科技中学,,,747.5,407.5,141,124,144,否
崇明区,上海市上海中学,,,762,425,138,142,143,否
崇明区,上海市育才中学,,,717,400.5,134,127,125,否
崇明区,上海市宜川中学,,,668.5,364.5,117,116,119,否
崇明区,上海市控江中学,,,752.5,416.5,141,133,140,否
崇明区,上海交通大学附属中学,,,761.5,425.5,144,137,140,否
崇明区,复旦大学附属中学,,,763,420,147,126,147,否
崇明区,上海师范大学附属中学闵行分校,,,736,399,130,128,143,否
崇明区,上海市闵行中学,,,724.5,392.5,124,129,139,否
崇明区,上海市行知中学,,,735,399,135,124,140,否
崇明区,上海大学附属中学,,,722.5,391.5,124,132,137,否
崇明区,上海师范大学附属中学宝山分校,,,723.5,393,130,127,135,否
崇明区,上海市吴淞中学,,,720,393,128,124,133,否
崇明区,华东师范大学第二附属中学,,,759,416,142,131,146,否
崇明区,上海师范大学附属中学嘉定新城分校,,,711,389,119,128,133,否
