各初中学校排行榜（分区分榜）— 区内排名为主,,,,,,,,,,,,,,
"排名方法：
· 榜A 生源强度：对每所市重，在该校『名额到校录取线』的初中间计算标准分 z=(分-均值)/标准差（区内池与全市池各算一次）；某校生源强度指数=其所有市重 z 的均值。z 分消除了市重难度差异，全量覆盖全部拿到到校名额的初中。
· 榜B 高分产出：按『700+占比%(推算)』（700+人数÷推算考生数）区内排名（仅民间统计到的学校有值）。
· 榜D 声誉口碑：来自网页可检索的公开排名/口碑汇总（机构公众号、家长论坛、百度百家号等），逐校标注来源，属主观判断、仅供参考；本项目内数据不完整，故排名不能只靠 A/B。
· 综合得分(数据+声誉)：区内将 A、B、D 各自归一化到 0–100 后加权合成（A:B:D=2:1.5:6.5，声誉主导），因项目内『名额到校录取线/700+』对自招强校易失真（尖子走四校自招、到校线反而低），故以公开口碑为主、数据为辅；凡校名可匹配到声誉数据者即用此式（缺 A/B 的维度取中性 50，数据不完整不惩罚）；无声誉数据者回退到原 A:B=6:4 数据综合，并标『声誉待补』。
· 区内排名为本表主排序（同区共用同一批市重名额池，最可比）；全市排名为跨区全局 z，仅供参考、不宜跨区比高低。
· 口径：到校录取线为 800 制（含综评50），仅在校内/校际的到校线之间比较，不混入平行志愿 750 制。推算考生数与 700+ 均为推算/民间值，声誉为主观口碑，见『数据完整度』列。",,,,,,,,,,,,,,
区,初中学校,推算考生数(人),到校名额合计,生源强度(榜A·区内z),700+人数,700+占比%(推算),声誉口碑(榜D),声誉来源/梯队,综合得分(数据+声誉),区内排名A,区内排名B,区内排名(综合),全市排名A,数据完整度
黄浦区,交附黄浦实验,242,58,0.213,,,,,71.1,9,,8,357,全量(仅A)·声誉待补
黄浦区,市十中学,225,54,-0.096,,,,,66.8,12,,9,431,全量(仅A)·声誉待补
黄浦区,光明初级中学,129,31,-0.118,,,,,66.4,13,,10,450,全量(仅A)·声誉待补
黄浦区,敬业初级中学,163,39,-0.133,,,,,66.2,14,,11,447,全量(仅A)·声誉待补
黄浦区,市八初级中学,104,25,-0.19,,,,,65.4,15,,12,453,全量(仅A)·声誉待补
黄浦区,金陵中学,63,15,-0.279,,,,,64.2,16,,13,438,全量(仅A)·声誉待补
黄浦区,民办震旦外国语,100,24,-0.343,,,,,63.3,18,,14,495,全量(仅A)·声誉待补
黄浦区,卢湾中学,246,59,0.729,,,76,第二梯队｜机构公众号梯队列,61.4,2,,15,74,全量(仅A)·含声誉
黄浦区,上音比乐中学,158,38,-0.585,,,,,59.9,19,,16,504,全量(仅A)·声誉待补
黄浦区,民办永昌学校,75,18,0.291,,,76,第二梯队｜机构公众号梯队列,59.3,7,,17,337,全量(仅A)·含声誉
黄浦区,民办明珠中学,133,32,0.237,,,76,第二梯队｜机构公众号梯队列,59.1,8,,18,367,全量(仅A)·含声誉
黄浦区,储能中学,96,23,-0.733,,,,,57.8,20,,19,550,全量(仅A)·声誉待补
黄浦区,清华中学,58,14,-1.677,,,,,44.5,21,,20,608,全量(仅A)·声誉待补
黄浦区,市南中学,158,38,-0.304,,,58,第三梯队｜机构公众号梯队列,22.1,17,,21,460,全量(仅A)·含声誉
