2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
奉贤区,204008,上海市奉贤区景秀高级中学,591.5,345.5,103,116,110,否,,
奉贤区,204020,上海美达菲双语高级中学,506.5,259.5,102,106,114,否,未录满,
奉贤区,204021,上海奉贤区博华高级中学,507.5,282.5,57,119,88,否,,
奉贤区,042032,上海市上海中学,718,424,140,137,149,否,,
奉贤区,064020,上海田家炳中学,637.5,369.5,116,125,127,否,,
奉贤区,069004,上海戏剧学院附属高级中学,662.5,394,123,134,128,否,未录满,
奉贤区,074081,上海安生学校,,,,,,,未录满,
奉贤区,079016,上海音乐学院附属安师实验中学,630,378,120,123,118,否,,
奉贤区,102056,上海交通大学附属中学,713,428,146,137,144,否,,
奉贤区,102057,复旦大学附属中学,709.5,420.5,143,133,144,否,,
奉贤区,124109,上海市民办文绮中学,627,363,106,117,128,否,,
奉贤区,124118,上海圣华紫竹高级中学,513,280.5,67,120,96,否,未录满,
奉贤区,125119,上海闵行区民办德闳学校,,,,,,,未录满,
奉贤区,134010,上海民办行中中学,491,275.5,78,97,84,否,未录满,
奉贤区,134012,上海存志高级中学,649.5,370.5,118,115,139,否,,
奉贤区,134014,上海创艺高级中学,578.5,333.5,106,119,125,否,,
奉贤区,134015,上海市宝山华曜高级中学,506,276,96,99,95,否,未录满,
奉贤区,135001,上海市同洲模范学校,503,293.5,76,99,87,否,未录满,
奉贤区,145007,上海市民办远东学校,529,283,122,100,123,否,,
奉贤区,152003,华东师范大学第二附属中学,711,417,138,133,146,否,,
奉贤区,152006,上海师范大学附属中学,694.5,403.5,134,128,146,否,,
奉贤区,154039,上海市民办丰华高级中学,573.5,298.5,106,109,135,否,,
奉贤区,154048,民办上海工商外国语职业学院附属中学,568,321,100,111,111,否,,
奉贤区,155041,上海浦东新区民办东鼎外国语学校,578,333,93,118,111,否,,
奉贤区,155043,上海市民办尚德实验学校,619.5,356.5,111,123,125,否,,
奉贤区,164005,上海市民办交大南洋中学,523.5,312,101,110,87,否,,
