year,district_id,school_name,min_score
2024,4,上海青浦区世外高级中学,586.50
2024,4,上海美达菲双语高级中学,530.00
2024,5,上海市市西中学,684.00
2024,5,上海市育才中学,669.50
2024,5,上海市新中高级中学,666.50
2024,5,上海市市北中学,677.50
2024,11,上海安生学校,518.00
2024,7,上海青浦区世外高级中学,607.00
2024,7,上海美达菲双语高级中学,518.50
2024,7,上海民办民一中学,499.50
2024,14,上海市上海中学,714.50
2024,14,上海交通大学附属中学,713.50
2024,14,华东师范大学第二附属中学,712.50
2024,14,复旦大学附属中学,712.00
2024,14,上海师范大学附属中学,701.50
2024,14,华东师范大学第二附属中学松江分校,700.50
2024,14,上海市松江二中,691.00
2024,3,上海闵行区诺达双语学校,570.00
2024,3,上海民办行中中学,572.50
2024,3,上海创艺高级中学,528.50
2024,15,上海市上海中学,706.00
2024,15,上海田家炳中学,637.50
2024,15,上海安生学校,537.50
2024,15,上海交通大学附属中学,706.00
2024,15,复旦大学附属中学,705.50
2024,15,上海市民办燎原双语高级中学,570.50
2024,15,上海民办行中中学,566.50
2024,15,上海存志高级中学,584.50
2024,15,上海市同洲模范学校,5420.00
2024,15,上海宝山区世外学校,676.00
2024,15,上海市民办远东学校,574.00
2024,15,华东师范大学第二附属中学,708.00
2024,15,上海师范大学附属中学,689.00
2024,15,上海市民办丰华高级中学,568.50
2024,15,上海浦东新区民办东鼎外国语学校,566.00
2024,15,上海市民办尚德实验学校,627.00
2024,15,上海市民办交大南洋中学,571.50
2024,15,上海市民办永昌中学,552.00
2024,15,上海金山区世外学校,630.00
2024,15,上海市松江区科德高级中学,598.00
2024,15,上海市西外外国语学校,567.00
2024,15,上海市青浦高级中学,666.00
2024,15,复旦大学附属中学青浦分校,689.00
2024,15,上海市朱家角中学,651.00
2024,15,上海市青浦区第二中学,580.00
2024,15,上海市青浦区第一中学,632.50
2024,15,上海美达菲双语高级中学,539.00
2024,15,上海民办民一中学,543.50
2024,11,上海市嘉定区第一中学,675.00
2024,11,上海交通大学附属中学嘉定分校,684.00
2024,11,上海市嘉定区第二中学,648.50
2024,11,上海市嘉定区嘉一实验高级中学,664.00
2024,11,上海师范大学附属嘉定高级中学,634.50
2024,11,上海市嘉定区安亭高级中学,623.00
2024,11,上海大学附属嘉定高级中学,610.00
2024,11,上海市嘉定区中光高级中学,593.00
2024,11,上海市嘉定区封浜高级中学,557.50
2024,11,上海市上海中学,712.00
2024,11,上海交通大学附属中学,707.50
2024,11,复旦大学附属中学,708.00
2024,11,华东师范大学第二附属中学,710.50
2024,11,上海师范大学附属中学,687.00
2024,11,上海市五爱高级中学,661.50
2024,11,上海市同济黄浦设计创意中学,630.00
2024,11,上海田家炳中学,645.00
2024,11,上海存志高级中学,633.00
2024,11,上海创艺高级中学,518.00
2024,11,上海市宝山华曜高级中学,628.50
2024,11,上海市同洲模范学校,523.50
2024,11,上海金瑞学校,518.00
2024,11,上海宝山区世外学校,666.00
2024,11,上海市浦东新区民办浦实高级中学,518.00
2024,11,上海市民办丰华高级中学,590.00
2024,11,民办上海工商外国语职业学院附属中学,555.50
2024,11,上海浦东新区民办东鼎外国语学校,572.00
2024,11,上海市民办尚德实验学校,621.00
2024,11,上海市民办交大南洋中学,579.50
2024,11,上海市民办永昌中学,518.00
2024,11,上海金山区世外学校,630.50
2024,11,上海市松江区科德高级中学,518.00
2024,11,上海市西外外国语学校,543.50
2024,11,上海赫贤学校,619.00
2024,11,上海青浦区世外高级中学,652.50
2024,11,上海青浦区宏润博源高级中学,518.00
2024,11,上海青浦区协和双语学校,565.00
2024,11,上海美达菲双语高级中学,518.00
2024,11,上海民办民一中学,508.00
2024,13,上海市上海中学,706.50
2024,13,上海田家炳中学,630.50
2024,13,上海安生学校,572.00
2024,13,上海交通大学附属中学,704.50
2024,4,上海宝山区民办维尚高级中学,583.50
2024,4,上海市民办远东学校,565.00
2024,4,上海市民办丰华高级中学,583.50
2024,4,民办上海工商外国语职业学院附属中学,567.50
2024,4,上海浦东新区民办东鼎外国语学校,586.50
2024,4,上海市民办尚德实验学校,608.50
2024,4,上海市民办金苹果学校,548.00
2024,4,上海金山区世外学校,619.50
2024,4,上海赫贤学校,614.50
2024,4,上海市松江区科德高级中学,597.50
2024,4,上海宋庆龄学校,644.50
2024,4,上海青浦区协和双语学校,520.50
2024,4,上海奉贤区博华高级中学,536.50
2024,4,上海民办民一中学,495.50
2024,5,上海市回民中学,610.00
2024,5,上海市民立中学,639.00
2024,5,上海市闸北第八中学,602.00
2024,5,上海市华东模范中学,625.50
2024,5,同济大学附属七一中学,596.50
2024,5,上海戏剧学院附属高级中学,590.50
2024,5,上海市向东中学,582.00
2024,5,上海大学市北附属中学,564.00
2024,5,上海市民办扬波中学,557.50
2024,5,上海市民办新和中学,575.00
2024,5,上海市民办风范中学,529.50
2024,5,上海市五爱高级中学,647.00
2024,5,上海市同济黄浦设计创意中学,612.50
2024,5,上海市上海中学,702.50
2024,5,上海市民办西南高级中学,624.50
2024,5,上海安生学校,533.50
2024,5,上海交通大学附属中学,705.00
2024,5,复旦大学附属中学,702.50
2024,5,上海市文来中学,650.50
2024,5,上海市民办燎原双语高级中学,576.00
2024,5,上海存志高级中学,651.00
2024,5,上海宝山区民办维尚高级中学,566.50
2024,5,上海创艺高级中学,525.50
2024,5,上海市宝山华曜高级中学,646.50
2024,5,上海宝山区世外学校,668.50
2024,5,上海华旭双语学校,526.50
2024,5,上海嘉定区民办华盛怀少学校,526.00
2024,5,华东师范大学第二附属中学,703.50
2024,5,上海市民办丰华高级中学,563.50
2024,5,上海浦东新区民办东鼎外国语学校,580.00
2024,5,上海市民办尚德实验学校,623.50
2024,5,上海市民办交大南洋中学,568.00
2024,5,上海市民办永昌中学,574.00
2024,5,上海金山区世外学校,656.50
2024,5,上海市西外外国语学校,549.00
2024,5,上海赫贤学校,592.50
2024,5,上海宋庆龄学校,673.00
2024,5,上海青浦区协和双语学校,580.50
2024,5,上海美达菲双语高级中学,541.00
2024,5,上海民办民一中学,518.50
2024,12,上海市上海中学,706.50
2024,12,上海交通大学附属中学,706.50
2024,12,复旦大学附属中学,706.50
2024,12,上海市建平中学,695.00
2024,12,上海市进才中学,690.50
2024,12,上海南汇中学,671.50
2024,12,上海市洋泾中学,682.50
2024,12,上海市川沙中学,680.50
2024,12,上海市实验学校,701.00
2024,12,上海中学东校,685.00
2024,12,上海市浦东复旦附中分校,697.00
2024,12,上海市高桥中学,669.00
2024,12,上海市建平中学筠溪分校,689.50
2024,12,上海市进才中学根林分校,686.50
2024,12,上海市川沙中学友仁分校,665.00
2024,12,华东师范大学附属东昌中学,668.00
2024,12,上海市上南中学,648.00
2024,12,上海市三林中学,636.50
2024,12,上海市杨思高级中学,628.50
2024,12,上海市新川中学,644.50
2024,12,华东师范大学附属周浦中学,651.00
2024,12,上海海洋大学附属大团高级中学,603.00
2024,12,上海市新场中学,578.50
2024,12,华东理工大学附属浦东科技高级中学,659.00
2024,12,上海市文建中学,598.00
2024,12,上海立信会计金融学院附属高行中学,629.50
2024,12,上海第二工业大学附属龚路中学,592.50
2024,12,华东师范大学张江实验中学,616.50
2024,12,上海市三林中学东校,573.50
2024,12,上海市民办育辛高级中学,531.00
2024,12,上海市建平世纪中学,622.50
