id,name,short_name,district
460,上海浦东新区民办欣竹中学,上海浦东新区,浦东新区
150,上海市民办风范中学,上海市民办风,静安区
225,上海市惠民中学,上海市惠民中,杨浦区
417,上海嘉定区世界外国语学校,上海嘉定区世,嘉定区
603,上海市松江区佘山学校,上海市松江区,松江区
423,华东师范大学附属东昌中学南校,华东师范大学,浦东新区
678,上海市奉贤区金汇学校,上海市奉贤区,奉贤区
438,上海市金川中学,上海市金川中,浦东新区
266,上海市闵行区浦江第一中学,上海市闵行区,闵行区
299,上海市马桥强恕学校,上海市马桥强,闵行区
430,上海市清流中学,上海市清流中,浦东新区
267,上海市闵行区浦江第二中学,上海市闵行区,闵行区
304,上海市闵行区文来实验学校,上海市闵行区,闵行区
176,上海安生学校,上海安生学校,普陀区
598,上海市松江区泗泾实验学校,上海市松江区,松江区
486,上海市浦东外国语学校东校,上海市浦东外,浦东新区
15,交大附中附属嘉定德富中学,,嘉定区
400,交大附中附属嘉定德富中学,交大附中附属,嘉定区
378,上海民办至德实验学校,上海民办至德,宝山区
533,上海市三墩学校,上海市三墩学,浦东新区
40,上海市曹杨第二中学附属学校,曹杨二中附校,普陀区
188,上海市曹杨第二中学附属学校,上海市曹杨第,普陀区
605,上海世外教育附属松江区车墩学校,上海世外教育,松江区
109,上海市复旦初级中学,上海市复旦初,长宁区
255,上海同大实验学校,上海同大实验,杨浦区
554,上海浦东新区民办宏文学校,上海浦东新区,浦东新区
84,上海市梅园中学,上海市梅园中,徐汇区
433,上海市浦东新区教育学院附属实验中学,上海市浦东新,浦东新区
547,上海市周浦实验学校,上海市周浦实,浦东新区
424,上海市洋泾中学东校,上海市洋泾中,浦东新区
236,上海市鞍山实验中学,上海市鞍山实,杨浦区
428,上海市洪山中学,上海市洪山中,浦东新区
691,柘林学校师大附中教学点,柘林学校师大,奉贤区
444,上海市黄楼中学,上海市黄楼中,浦东新区
583,上海市松江二中（集团）初级中学,上海市松江二,松江区
606,上海市松江区张泽学校,上海市松江区,松江区
365,上海市宝山区教育学院实验学校,上海市宝山区,宝山区
303,上海市闵行区明星学校,上海市闵行区,闵行区
354,上海市月浦实验学校,上海市月浦实,宝山区
609,上海市西外外国语学校,上海市西外外,松江区
557,上海市浦东新区东城学校,上海市浦东新,浦东新区
534,上海市万祥学校,上海市万祥学,浦东新区
221,上海市铁岭中学,上海市铁岭中,杨浦区
50,大同初级中学,大同初级中学,黄浦区
721,上海市崇明区长兴中学,,崇明区
701,上海市崇明区长兴中学,上海市崇明区,崇明区
482,上海市南汇第五中学,上海市南汇第,浦东新区
588,上海市松江区立达中学,上海市松江区,松江区
318,上海闵行区诺达双语学校,上海闵行区诺,闵行区
574,华东师范大学附属枫泾中学,华东师范大学,金山区
717,上海市崇明区崇东中学,,崇明区
696,上海市崇明区崇东中学,上海市崇明区,崇明区
556,上海浦东民办未来科技学校,上海浦东民办,浦东新区
281,上海中医药大学附属闵行晶城中学,上海中医药大,闵行区
494,上海市历城中学,上海市历城中,浦东新区
683,上海市奉贤区平安学校,上海市奉贤区,奉贤区
250,上海市昆明学校,上海市昆明学,杨浦区
223,上海市十五中学,上海市十五中,杨浦区
148,上海市民办扬波中学,上海市民办扬,静安区
727,上海民办民一中学,,崇明区
708,上海民办民一中学,上海民办民一,崇明区
83,上海市汾阳中学,上海市汾阳中,徐汇区
666,上海市奉贤区待问中学,上海市奉贤区,奉贤区
226,上海市辽阳中学,上海市辽阳中,杨浦区
548,上海浦东新区民办沪港学校,上海浦东新区,浦东新区
269,上海市闵行第四中学,上海市闵行第,闵行区
98,上海市西南模范中学,上海市西南模,徐汇区
478,上海市浦东模范中学东校,上海市浦东模,浦东新区
673,上海市奉贤区胡桥学校,上海市奉贤区,奉贤区
448,上海师范大学附属高桥实验中学,上海师范大学,浦东新区
273,上海市闵行区龙茗中学,上海市闵行区,闵行区
527,上海浦东新区民办协和双语学校,上海浦东新区,浦东新区
426,上海市上南中学北校,上海市上南中,浦东新区
373,上海民办华曜宝山实验学校,上海民办华曜,宝山区
615,华东政法大学附属松江实验学校,华东政法大学,松江区
10,上海市嘉定区丰庄中学,,嘉定区
395,上海市嘉定区丰庄中学,上海市嘉定区,嘉定区
585,上海市松江区九亭中学,上海市松江区,松江区
664,上海外国语大学附属奉贤实验中学,上海外国语大,奉贤区
440,上海市孙桥中学,上海市孙桥中,浦东新区
54,敬业初级中学,敬业初级中学,黄浦区
111,上海市娄山中学,上海市娄山中,长宁区
89,上海市中国中学,上海市中国中,徐汇区
142,上海市久隆模范中学,上海市久隆模,静安区
654,上海市奉贤中学附属南桥中学,上海市奉贤中,奉贤区
131,上海市风华初级中学,上海市风华初,静安区
449,上海市凌桥中学,上海市凌桥中,浦东新区
572,上海市同凯中学,上海市同凯中,金山区
499,上海市育民中学,上海市育民中,浦东新区
